# perf report -i $SCRATCH/perf_bench2.data --stdio -n --no-children --sort=symbol --dsos=nif_pool.so 2>&1 | grep -E "^\s*[0-9]+\.[0-9]+%"
# perf report -i $SCRATCH/perf_bench2.data --stdio -n --no-children --sort=symbol --dsos=beam.smp 2>&1 | grep -E "^\s*[0-9]+\.[0-9]+%"
# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 42K of event 'cpu/cycles/P'
# Event count (approx.): 147839290519
#
# Overhead       Samples  Symbol                                                                                                                                                                                  IPC   [IPC Coverage]
# ........  ............  ......................................................................................................................................................................................  ....................
#
     0.02%             6  [.] enif_self                                                                                                                                                                           -      -            
     0.02%             6  [.] enif_mutex_lock                                                                                                                                                                     -      -            
     0.02%             6  [.] recv_check_result                                                                                                                                                                   -      -            
     0.02%             6  [.] erts_make_ref_in_buffer                                                                                                                                                             -      -            
     0.01%             6  [.] erts_os_system_time                                                                                                                                                                 -      -            
     0.01%             6  [.] erts_io_clear_nif_select_handles                                                                                                                                                    -      -            
     0.01%             6  [.] erts_notify_canceled_timer                                                                                                                                                          -      -            
     0.01%             5  [.] mbc_alloc_finalize                                                                                                                                                                  -      -            
     0.01%             5  [.] esock_activate_next_reader                                                                                                                                                          -      -            
     0.01%             5  [.] sched_yield@plt                                                                                                                                                                     -      -            
     0.01%             5  [.] erts_proc_sig_queue_maybe_install_buffers                                                                                                                                           -      -            
     0.01%             5  [.] BeamModuleAssembler::emit(unsigned int, asmjit::v1_21::Span<ArgVal const> const&)                                                                                                   -      -            
     0.01%             5  [.] index_get                                                                                                                                                                           -      -            
     0.01%             5  [.] erts_io_clear_nif_select                                                                                                                                                            -      -            
     0.01%             5  [.] enif_set_pid_undefined                                                                                                                                                              -      -            
     0.01%             5  [.] erts_erase_dicts                                                                                                                                                                    -      -            
     0.01%             5  [.] erl_drv_mutex_lock                                                                                                                                                                  -      -            
     0.01%             5  [.] offset_heap                                                                                                                                                                         -      -            
     0.01%             5  [.] memcpy@plt                                                                                                                                                                          -      -            
     0.01%             5  [.] erts_monitor_list_foreach_delete_yielding                                                                                                                                           -      -            
     0.01%             5  [.] esock_demonitor.part.0                                                                                                                                                              -      -            
